Site,filename,Name,storeName,joltLocationID
10684,store-10684,Scott City,Wendy's 10684 - Scott City,TG9jYXRpb246MDAwNTg3NWMyNjBkNGNkYWU2YTVmYzkzZTAzZTZkOGQ=
10816,store-10816,Ellensburg,Wendy's 10816 - Ellensburg,TG9jYXRpb246MDAwNTg3NWIyNjBkNGM2Y2Q0MTJjYzU4YjIyN2JmYjM=
11066,store-11066,Regal,Wendy's 11066 - Regal,TG9jYXRpb246MDAwNTg3NWIyNjBkNGM2ZDc4ODE2MDg1YmIzZjdhNzI=
11087,store-11087,Klamath Falls,Wendy's 11087 - Klamath Falls,TG9jYXRpb246MDAwNTg3MmQyNjBkNGNjODEwOGIwOWRiNTMxNDk2MTk=
11088,store-11088,Fremont,Wendy's 11088 - Fremont,TG9jYXRpb246MDAwNTg3MmQyNjBkNGNjODg0ZmU0NTg4NDY1ZTBmOGU=
11145,store-11145,Clays Center,Wendy's 11145 - Clays Center,TG9jYXRpb246MDAwNTg3NWMyNjBkNGNkYWViNDdjN2UyNDBhMjg3ZmY=
11275,store-11275,Dodge City,Wendy's 11275 - Dodge City,TG9jYXRpb246MDAwNTg3NWMyNjBkNGNkYWM4Mzk1NTI5MjMxOTRjOTA=
11321,store-11321,Hays 2,Wendy's 11321 - Hays 2,TG9jYXRpb246MDAwNTg3NWMyNjBkNGNkYWQ4ZmJlZjg5OGY0ZWI0ZWM=
11745,store-11745,Yakima,Wendy's 11745 - Yakima,TG9jYXRpb246MDAwNTg3NWIyNjBkNGM2Yjc2YTYyNGU0Y2Y1NDMwMGQ=
11881,store-11881,Liberal,Wendy's 11881 - Liberal,TG9jYXRpb246MDAwNTg3NWMyNjBkNGNkYWY5MmU1NWEwMGZmNTI5YWY=
12251,store-12251,Moses Lake,Wendy's 12251 - Moses Lake,TG9jYXRpb246MDAwNTg3NWIyNjBkNGM2YmY3NGMxYTAwZDBlYzE3N2Q=
12281,store-12281,Ponderay,Wendy's 12281 - Ponderay,TG9jYXRpb246MDAwNjEyOTMyNjEzOTFjZTQ2YjZmYWE3MWE4MjFjY2E=
